company,country_iso,year,capital_expenditures_usd_million,operational_expenditures_usd_million,total_revenue_usd_million,oil_gas_&product_sales_usd_million,net_income_from_all_revenues_usd_million,total_assets_usd_million,current_assets_usd_million,total_liabilities_usd_million,total_transfers_to_government_usd_million,royalties_usd_million,income_tax_usd_million
Pemex,MEX,2016-01-01,8112.276403,36026.08757,59143.29993,57067.86707000001,23117.21236,124832.7646,19171.38902,190895.9957,14850.03931,,0
Pemex,MEX,2017-01-01,4853.455161,68553.5021,74319.85636,73225.25452,5766.35426,112646.3021,19207.2475,192024.4788,17860.867159999998,,0
Pertamina,IDN,2011-01-01,2342.221,59906.241,67296.95599999999,48901.456,4504.754,34923.643,17637.983,21641.033,2762.43,0,2099.452
Pertamina,IDN,2012-01-01,2295.195,63988.174000000006,70924.474,48478.27400000001,4802.288,40958.641,22025.632,25765.86,2800.275,0,2036.578
Pertamina,IDN,2013-01-01,3715.825,64102.85,71102.307,50239.207,5032.8809999999985,49341.871,24146.361,32052.579,2720.067,0,1965.826
Pertamina,IDN,2014-01-01,4028.7790000000014,63346,69995.589,51293.58900000001,3788.32,50695.945,20492.731,31881.176,3181.563,0,2311.673
Pertamina,IDN,2015-01-01,2566.429,35790,41762.534,37829.934,3007.238,45518.903,14329.659,26043.665,2019.06,0,1565.075
Pertamina,IDN,2016-01-01,1952.569,27944.233,36486.744,33494.578,4945.352,47233.206,16240.987,25158.639,2337.557,0,1782.698
Pertamina,IDN,2017-01-01,1636.125,35445.03,42959.325,38656.576,3575.61,51213.57,17286.806,27387.216,1890.742,0,1022.991
Perupetro,PER,2011-01-01,0.226113431,1515.011994,2585.863610000001,584.2702353,1080.064784,180.8615439,171.306775,354.4628459,1070.451056,0,0
Perupetro,PER,2012-01-01,0.290208122,1670.992988,2518.370349,627.0638368,857.2616729,182.6110696,178.7616291,363.7763356,846.8885630000003,0,0.104780264
Perupetro,PER,2013-01-01,0.374181267,1607.788062,2460.821421,534.9422706,855.0330630000003,184.9080943,173.06087140000002,177.82233730000004,859.7778739,0,0.39638787
Perupetro,PER,2014-01-01,0.196192793,1438.662734,2121.405906,507.07313099999993,684.0312816,120.1266988,104.409437,108.3621758,686.7311338999998,0,0.298339849
